filename,rating
Academic Advisor.txt,4
Account Executive.txt,8
Account Manager.txt,8
Accounting Assistant Cover Letter.txt,8
Accounting Clerk Cover Letter.txt,7
Accounting Intern.txt,7
Accounting Manager.txt,8
Accounts Payable.txt,8
Actor.txt,8
Actuary.txt,8
Adjunct Faculty Cover Letter.txt,8
Administrative Assistant.txt,4
Administrative Specialist.txt,8
Administrator.txt,7
Admissions Counselor.txt,8
Airline Pilot.txt,7
Analyst.txt,7
Architect.txt,8
Archivist.txt,8
Art Teacher.txt,8
Artist.txt,8
Assistant Manager.txt,8
Assistant Principal.txt,8
Assistant Professor.txt,8
Assistant Store Manager.txt,7
Attorney.txt,7
Auditor.txt,8
Automotive Technician.txt,8
Babysitter.txt,8
Bank Teller Cover Letter.txt,8
Banker.txt,8
Barista.txt,8
Bartender.txt,8
Bcba.txt,8
Benefits Specialist.txt,7
Bookkeeper.txt,8
Branch Manager.txt,8
Brand Manager Cover Letter.txt,7
Budget Analyst.txt,8
Business Analyst.txt,8
Business Development Manager.txt,8
Business Manager.txt,7
Business Systems Analyst.txt,8
Buyer Cover Letter.txt,8
Caregiver.txt,8
Carpenter Cover Letter.txt,7
Case Manager.txt,7
Cashier.txt,8
Ceo.txt,7
Certified Medical Assistant.txt,8
Cfo.txt,8
Chef.txt,8
Chemical Engineer Cover Letter.txt,8
Chemist.txt,8
Cio.txt,8
Civil Engineer.txt,7
Clerk.txt,8
Cma.txt,8
Coach.txt,8
Communications Director.txt,8
Computer Technician.txt,8
Concierge.txt,8
Construction Manager.txt,8
Construction Worker.txt,7
Controller.txt,7
Coo.txt,8
Copy Editor.txt,8
Copywriter.txt,7
Cosmetologist.txt,8
Counselor.txt,8
Court Clerk.txt,8
Credit Analyst.txt,7
Custodian.txt,8
Customer Service Manager.txt,8
Customer Service Representative.txt,8
Customer Service Specialist Cover Letter.txt,7
Customer Service Supervisor.txt,7
Data Entry.txt,6
Data Scientist.txt,7
Database Administrator.txt,8
Database Analyst.txt,8
Delivery Driver.txt,7
Dental Assistant.txt,8
Dental Hygienist.txt,8
Dentist.txt,8
Designer.txt,8
Development Associate.txt,8
Devops Engineer.txt,7
Dietary Aide.txt,8
Dietitian.txt,8
Digital Marketing Manager.txt,8
Digital Marketing Specialist.txt,9
Director Of Development.txt,7
Director.txt,8
Dishwasher.txt,7
Dispatcher Cover Letter.txt,8
Driver.txt,7
Economist.txt,8
Electrical Engineer.txt,8
Electrician.txt,8
Emergency Medical Technician.txt,8
Engineer.txt,8
Engineering Intern.txt,8
Engineering Manager.txt,8
Esthetician.txt,8
Event Coordinator.txt,7
Event Manager.txt,8
Event Planner.txt,8
Executive Chef Cover Letter.txt,8
Executive.txt,8
Exercise Physiologist.txt,8
Facilities Manager.txt,7
Field Technician.txt,8
File Clerk.txt,7
Finance Intern.txt,8
Finance Manager.txt,8
Financial Advisor.txt,8
Financial Analyst.txt,8
Firefighter.txt,8
Flight Attendant.txt,7
Food Service Manager.txt,8
Forklift Operator.txt,7
Front Desk.txt,8
General Manager.txt,8
Geologist Cover Letter.txt,8
Gis Analyst.txt,7
Graduate Assistant.txt,8
Grant Writer.txt,7
Guidance Counselor Cover Letter.txt,8
Hair Stylist.txt,8
Heavy Equipment Operator.txt,7
Help Desk.txt,8
Home Health Aide.txt,8
Hospital Pharmacist.txt,8
Host Cover Letter.txt,8
Hostess.txt,8
Hotel Manager.txt,8
Housekeeper.txt,8
Human Resources Coordinator.txt,7
Human Resources Generalist.txt,8
Human Resources Manager.txt,7
Industrial Engineer.txt,8
Insurance Agent.txt,8
Intelligence Analyst.txt,8
Interior Designer.txt,8
Intern.txt,8
It Director Cover Letter.txt,7
It Manager.txt,7
It Professional.txt,7
It Specialist.txt,7
Journalist Cover Letter.txt,7
Laboratory Technician.txt,7
Laborer.txt,8
Legal Assistant.txt,7
Legal Intern.txt,8
Legal Secretary.txt,8
Librarian.txt,8
Library Assistant.txt,6
Line Cook Cover Letter.txt,6
Loan Officer.txt,8
Lvn.txt,2
Machine Operator.txt,8
Machinist.txt,7
Mail Carrier.txt,8
Maintenance Supervisor.txt,8
Maintenance Technician.txt,8
Maintenance Worker.txt,8
Makeup Artist.txt,8
Management Consultant.txt,8
Manager.txt,7
Manufacturing Engineer.txt,8
Marketer.txt,8
Marketing Assistant Cover Letter.txt,8
Marketing Associate.txt,7
Marketing Coordinator.txt,8
Marketing Director.txt,8
Marketing Intern.txt,7
Marketing Manager.txt,8
Marketing Specialist Cover Letter.txt,8
Marketing.txt,8
Massage Therapist.txt,8
Material Handler.txt,8
Mechanic Cover Letter.txt,8
Medical Assistant.txt,8
Medical Office Manager.txt,8
Medical Receptionist.txt,7
Medical Records Clerk Cover Letter.txt,7
Medical Scribe.txt,7
Medical.txt,7
Mental Health Counselor.txt,8
Mental Health Technician.txt,8
Mental Health Therapist.txt,8
Ministry.txt,8
Nanny.txt,8
Network Administrator Cover Letter.txt,7
Network Engineer.txt,7
Nurse Educator.txt,8
Nurse Manager.txt,8
Nurse Practitioner.txt,8
Nursing Assistant.txt,2
Nursing Student.txt,7
Nutritionist.txt,8
Occupational Therapist.txt,8
Office Assistant.txt,8
Office Clerk.txt,8
Office Coordinator.txt,8
Office Manager.txt,8
Operations Analyst.txt,7
Operations Coordinator.txt,8
Operations Manager.txt,8
Optometrist.txt,8
Painter.txt,8
Paralegal.txt,8
Paramedic.txt,8
Paraprofessional.txt,8
Patient Care Coordinator.txt,8
Patient Care Technician.txt,8
Payroll Clerk.txt,8
Personal Assistant.txt,8
Personal Trainer.txt,8
Pharmacist.txt,8
Pharmacy Intern.txt,8
Pharmacy Technician.txt,8
Phlebotomist.txt,7
Photographer.txt,8
Physical Therapist Assistant Cover Letter.txt,7
Physical Therapist.txt,8
Physical Therapy Aide.txt,8
Physical Therapy Assistant.txt,8
Physician Assistant.txt,8
Physician.txt,9
Pilot.txt,8
Plumber.txt,8
Police Officer.txt,7
Prep Cook.txt,5
Preschool Teacher.txt,8
Principal.txt,8
Producer.txt,9
Product Manager.txt,7
Production Assistant.txt,8
Production Manager.txt,7
Production Supervisor.txt,8
Professor.txt,8
Program Coordinator.txt,7
Program Manager.txt,8
Project Coordinator.txt,8
Property Manager.txt,7
Prosecutor.txt,8
Psychologist.txt,7
Public Defender.txt,8
Public Relations.txt,8
Purchasing Manager.txt,7
Quality Engineer.txt,8
Real Estate Agent.txt,7
Receptionist.txt,7
Recruiter.txt,8
Registered Nurse.txt,8
Research Analyst.txt,8
Researcher.txt,8
Resident Assistant.txt,8
Residential Assistant.txt,8
Respiratory Therapist.txt,8
Restaurant Manager.txt,7
Retail Manager.txt,7
Retail Sales Associate Cover Letter.txt,8
Sales Associate.txt,8
Sales Engineer.txt,8
Sales Manager.txt,8
Sales Representative.txt,8
Sales.txt,8
School Counselor.txt,8
School Nurse.txt,8
School Social Worker.txt,8
Scientist.txt,8
Scrum Master Cover Letter.txt,8
Secretary.txt,8
Security Guard.txt,7
Security Officer.txt,8
Security.txt,7
Server.txt,7
Social Media Specialist.txt,7
Social Worker.txt,8
Sous Chef.txt,8
Special Education Teacher.txt,8
Speech Language Pathologist.txt,7
Staff Assistant.txt,7
Sterile Processing Technician.txt,8
Store Manager.txt,7
Structural Engineer Cover Letter.txt,8
Substitute Teacher.txt,8
Superintendent.txt,8
Supervisor.txt,8
Supply Chain Manager.txt,8
Surgical Technician.txt,7
